Previous_Location,Locations (city/country),Budget (USD),Weather_condition,Month,Distance (km),Gender,Accommodation,Languages,Travel_Companions
"Los Angeles, USA","Cairo, Egypt",500-800 USD,Sunny,November,12200.71,Male,Hotel,"['Arabic', 'English']",Couple
"Cairo, Egypt","Toronto, Canada",1500-3000 USD,Rainy,April,9206.51,Male,Hotel,"['English', 'French']",Family
"Rome, Italy","Toronto, Canada",1500-3000 USD,Sunny,July,7078.77,Female,Hotel,"['English', 'French']",Couple
"Buenos Aires, Argentina","Mumbai, India",800-1500 USD,Dry,November,14935.13,Female,Hotel,"['Hindi', 'English']",Friends
"Amsterdam, Netherlands","Barcelona, Spain",1500-3000 USD,Cloudy,April,1238.47,Female,Hotel,"['Spanish', 'Catalan']",Couple
"Rome, Italy","Seoul, South Korea",1500-3000 USD,Sunny,May,8966.28,Female,Airbnb,['Korean'],Family
"Nairobi, Kenya","Seoul, South Korea",1500-3000 USD,Rainy,July,10108.92,Male,Airbnb,['Korean'],Family
"Amsterdam, Netherlands","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,10190.04,Male,Airbnb,"['Malay', 'English']",Friends
"Cape Town, South Africa","Dubai, UAE",1500-3000 USD,Hot,August,7648.11,Male,Hotel,"['Arabic', 'English']",Colleagues
"Rome, Italy","Los Angeles, USA",1500-3000 USD,Rainy,February,10188.99,Female,Hotel,"['English', 'Spanish']",Friends
"Sydney, Australia","Moscow, Russia",800-1500 USD,Cold,February,14496.16,Female,GuestHouse,['Russian'],Family
"Sydney, Australia","Hanoi, Vietnam",500-800 USD,Sunny,February,7765.88,Female,GuestHouse,['Vietnamese'],Friends
"Bangkok, Thailand","Seoul, South Korea",1500-3000 USD,Rainy,July,3722.1,Female,GuestHouse,['Korean'],Friends
"Kuala Lumpur, Malaysia","Buenos Aires, Argentina",800-1500 USD,Rainy,March,15955.14,Male,Airbnb,['Spanish'],Couple
"Barcelona, Spain",Singapore,1500-3000 USD,Humid,April,10875.52,Female,GuestHouse,"['English', 'Mandarin']",Friends
"Cairo, Egypt",Singapore,1500-3000 USD,Humid,April,8260.25,Male,GuestHouse,"['English', 'Mandarin']",Friends
"Santiago, Chile","Mumbai, India",800-1500 USD,Dry,November,16070.95,Male,Hotel,"['Hindi', 'English']",Couple
"Toronto, Canada","Bangkok, Thailand",500-800 USD,Rainy,October,13631.67,Male,Airbnb,"['Thai', 'English']",Family
Singapore,"Hanoi, Vietnam",500-800 USD,Rainy,May,2199.02,Male,Airbnb,['Vietnamese'],Family
"Istanbul, Turkey","Lisbon, Portugal",800-1500 USD,Rainy,November,3237.35,Female,GuestHouse,['Portuguese'],Couple
"Santiago, Chile","Cape Town, South Africa",800-1500 USD,Windy,October,7941.88,Male,GuestHouse,"['English', 'Afrikaans', 'Xhosa']",Family
"Rio de Janeiro, Brazil","Tokyo, Japan",1500-3000 USD,Sunny,June,18569.25,Female,Hotel,['Japanese'],Friends
"Vienna, Austria","Barcelona, Spain",1500-3000 USD,Cloudy,March,1349.83,Male,GuestHouse,"['Spanish', 'Catalan']",Solo
"Paris, France","Istanbul, Turkey",800-1500 USD,Sunny,May,2255.6,Male,Hotel,['Turkish'],Friends
"Istanbul, Turkey","Paris, France",1500-3000 USD,Cloudy,December,2255.6,Male,Hotel,['French'],Couple
"Rome, Italy","Kuala Lumpur, Malaysia",800-1500 USD,Humid,July,9707.54,Male,GuestHouse,"['Malay', 'English']",Friends
"New York, USA","Sydney, Australia",1500-3000 USD,Cloudy,June,15988.76,Male,GuestHouse,['English'],Couple
"Cape Town, South Africa","Nairobi, Kenya",800-1500 USD,Humid,March,4102.81,Female,GuestHouse,"['Swahili', 'English']",Friends
"Hanoi, Vietnam","Sydney, Australia",1500-3000 USD,Sunny,February,7765.88,Male,GuestHouse,['English'],Couple
"Los Angeles, USA","Seoul, South Korea",1500-3000 USD,Sunny,May,9585.8,Male,Airbnb,['Korean'],Friends
"Lisbon, Portugal","Rio de Janeiro, Brazil",500-800 USD,Sunny,December,7715.32,Male,Hotel,['Portuguese'],Friends
"Budapest, Hungary","Cape Town, South Africa",800-1500 USD,Sunny,December,9054.01,Male,Airbnb,"['English', 'Afrikaans', 'Xhosa']",Family
"Istanbul, Turkey","Dubai, UAE",1500-3000 USD,Rainy,December,2990.88,Male,Hotel,"['Arabic', 'English']",Couple
"Bangkok, Thailand","Santiago, Chile",800-1500 USD,Sunny,December,17650.5,Female,GuestHouse,['Spanish'],Friends
"Rio de Janeiro, Brazil","Lisbon, Portugal",800-1500 USD,Cloudy,February,7715.32,Male,Airbnb,['Portuguese'],Friends
"Los Angeles, USA","Rio de Janeiro, Brazil",500-800 USD,Sunny,November,10143.47,Female,GuestHouse,['Portuguese'],Friends
"Rome, Italy","Dubai, UAE",1500-3000 USD,Hot,June,4317.89,Male,Hotel,"['Arabic', 'English']",Colleagues
"Bangkok, Thailand","London, UK",1500-3000 USD,Rainy,March,9531.82,Male,Hotel,['English'],Family
"Buenos Aires, Argentina","Mumbai, India",800-1500 USD,Humid,July,14935.13,Female,GuestHouse,"['Hindi', 'English']",Friends
"Paris, France","Buenos Aires, Argentina",800-1500 USD,Sunny,January,11050.12,Female,Airbnb,['Spanish'],Friends
"Seoul, South Korea","Hanoi, Vietnam",500-800 USD,Sunny,February,2740.3,Female,Airbnb,['Vietnamese'],Couple
"Amsterdam, Netherlands","Lisbon, Portugal",800-1500 USD,Sunny,June,1863.28,Female,Airbnb,['Portuguese'],Friends
"Cape Town, South Africa","Amsterdam, Netherlands",1500-3000 USD,Rainy,November,9684.89,Female,Hotel,"['Dutch', 'English']",Couple
"Sydney, Australia","Kuala Lumpur, Malaysia",800-1500 USD,Humid,July,6615.09,Female,Airbnb,"['Malay', 'English']",Friends
"Rio de Janeiro, Brazil","Tokyo, Japan",1500-3000 USD,Humid,August,18569.25,Male,Hotel,['Japanese'],Couple
"Berlin, Germany","Nairobi, Kenya",800-1500 USD,Sunny,December,6370.02,Female,Airbnb,"['Swahili', 'English']",Couple
"Budapest, Hungary","Barcelona, Spain",1500-3000 USD,Rainy,December,1497.36,Male,GuestHouse,"['Spanish', 'Catalan']",Couple
"Berlin, Germany","Buenos Aires, Argentina",800-1500 USD,Cold,July,11909.52,Female,Hotel,['Spanish'],Family
"Vienna, Austria","London, UK",1500-3000 USD,Sunny,July,1235.41,Male,Hotel,['English'],Family
"Nairobi, Kenya","Tokyo, Japan",1500-3000 USD,Rainy,September,11247.99,Male,Airbnb,['Japanese'],Solo
"Istanbul, Turkey","Los Angeles, USA",1500-3000 USD,Sunny,August,11020.01,Female,GuestHouse,"['English', 'Spanish']",Couple
"Dubai, UAE","Bangkok, Thailand",500-800 USD,Rainy,October,4883.14,Female,Airbnb,"['Thai', 'English']",Family
"London, UK","Hanoi, Vietnam",500-800 USD,Sunny,March,9235.44,Male,Airbnb,['Vietnamese'],Family
"Nairobi, Kenya","Vienna, Austria",1500-3000 USD,Rainy,May,5847.4,Male,Hotel,['German'],Friends
"Mexico City, Mexico","Hanoi, Vietnam",500-800 USD,Humid,July,14758.15,Female,Hotel,['Vietnamese'],Family
"Lisbon, Portugal","Dubai, UAE",1500-3000 USD,Sunny,November,6131.54,Male,GuestHouse,"['Arabic', 'English']",Family
"Mexico City, Mexico","Budapest, Hungary",800-1500 USD,Sunny,June,10361.53,Male,Airbnb,['Hungarian'],Family
"Mumbai, India","Dubai, UAE",1500-3000 USD,Sunny,October,1935.02,Male,Hotel,"['Arabic', 'English']",Family
"Budapest, Hungary","Los Angeles, USA",1500-3000 USD,Sunny,June,9997.68,Male,Hotel,"['English', 'Spanish']",Couple
Singapore,"Budapest, Hungary",800-1500 USD,Cold,January,9504.66,Male,Hotel,['Hungarian'],Couple
"Bangkok, Thailand",Singapore,1500-3000 USD,Sunny,February,1426.76,Female,GuestHouse,"['English', 'Mandarin']",Colleagues
"Cairo, Egypt","Budapest, Hungary",800-1500 USD,Cold,January,2203.89,Female,GuestHouse,['Hungarian'],Family
"Kuala Lumpur, Malaysia","Rio de Janeiro, Brazil",500-800 USD,Sunny,November,15641.12,Female,Hotel,['Portuguese'],Friends
"Istanbul, Turkey","Cape Town, South Africa",800-1500 USD,Rainy,June,8401.97,Female,Hotel,"['English', 'Afrikaans', 'Xhosa']",Couple
"Los Angeles, USA","Barcelona, Spain",1500-3000 USD,Rainy,December,9653.99,Female,Hotel,"['Spanish', 'Catalan']",Family
"Amsterdam, Netherlands","Los Angeles, USA",1500-3000 USD,Rainy,January,8939.71,Male,Hotel,"['English', 'Spanish']",Solo
"Hanoi, Vietnam","Rio de Janeiro, Brazil",500-800 USD,Sunny,November,16820.07,Female,Hotel,['Portuguese'],Couple
"London, UK","Budapest, Hungary",800-1500 USD,Sunny,July,1449.24,Male,GuestHouse,['Hungarian'],Couple
"Buenos Aires, Argentina","Nairobi, Kenya",800-1500 USD,Sunny,December,10401.61,Male,GuestHouse,"['Swahili', 'English']",Solo
"London, UK","Moscow, Russia",800-1500 USD,Cold,January,2500.54,Male,Hotel,['Russian'],Colleagues
"New York, USA",Singapore,1500-3000 USD,Rainy,December,15332.5,Male,Hotel,"['English', 'Mandarin']",Colleagues
"Los Angeles, USA","Istanbul, Turkey",800-1500 USD,Rainy,November,11020.01,Female,Hotel,['Turkish'],Family
"Bangkok, Thailand","Barcelona, Spain",1500-3000 USD,Rainy,December,9678.33,Female,Hotel,"['Spanish', 'Catalan']",Family
"New York, USA","Nairobi, Kenya",800-1500 USD,Rainy,April,11842.35,Male,GuestHouse,"['Swahili', 'English']",Solo
"Lisbon, Portugal",Singapore,1500-3000 USD,Sunny,February,11878.64,Female,Hotel,"['English', 'Mandarin']",Couple
"Berlin, Germany","Los Angeles, USA",1500-3000 USD,Rainy,January,9309.68,Female,Airbnb,"['English', 'Spanish']",Solo
"Istanbul, Turkey","Mexico City, Mexico",800-1500 USD,Sunny,March,11426.65,Male,GuestHouse,['Spanish'],Couple
"Barcelona, Spain","Istanbul, Turkey",800-1500 USD,Rainy,November,2234.15,Female,Hotel,['Turkish'],Friends
"Sydney, Australia","Toronto, Canada",1500-3000 USD,Snowy,February,15570.49,Female,Hotel,"['English', 'French']",Couple
"Dubai, UAE","Lisbon, Portugal",800-1500 USD,Cloudy,January,6131.54,Male,Airbnb,['Portuguese'],Family
"Moscow, Russia","Istanbul, Turkey",800-1500 USD,Sunny,May,1756.39,Female,GuestHouse,['Turkish'],Friends
"Berlin, Germany","Tokyo, Japan",1500-3000 USD,Sunny,July,8915.53,Male,Hotel,['Japanese'],Solo
"Santiago, Chile","Moscow, Russia",800-1500 USD,Rainy,August,14130.93,Female,Airbnb,['Russian'],Couple
"London, UK","Bangkok, Thailand",500-800 USD,Humid,June,9531.82,Male,GuestHouse,"['Thai', 'English']",Couple
"Toronto, Canada","Los Angeles, USA",1500-3000 USD,Sunny,July,3497.26,Female,GuestHouse,"['English', 'Spanish']",Couple
"Santiago, Chile","Mexico City, Mexico",800-1500 USD,Cold,December,6610.1,Male,Airbnb,['Spanish'],Friends
"Moscow, Russia","Hanoi, Vietnam",500-800 USD,Rainy,June,6734.98,Male,Hotel,['Vietnamese'],Friends
"Toronto, Canada","Istanbul, Turkey",800-1500 USD,Sunny,June,8191.15,Male,Hotel,['Turkish'],Friends
"Tokyo, Japan","Istanbul, Turkey",800-1500 USD,Cold,February,8943.21,Female,Airbnb,['Turkish'],Couple
"Seoul, South Korea","Barcelona, Spain",1500-3000 USD,Sunny,August,9601.93,Female,Hotel,"['Spanish', 'Catalan']",Solo
"Mexico City, Mexico","Moscow, Russia",800-1500 USD,Rainy,August,10719.39,Female,GuestHouse,['Russian'],Colleagues
"Cairo, Egypt","Mumbai, India",800-1500 USD,Sunny,February,4358.21,Male,GuestHouse,"['Hindi', 'English']",Friends
"Bangkok, Thailand","London, UK",1500-3000 USD,Sunny,July,9531.82,Male,GuestHouse,['English'],Couple
"Paris, France","New York, USA",1500-3000 USD,Snowy,January,5837.24,Female,GuestHouse,"['English', 'Spanish']",Colleagues
"Hanoi, Vietnam","New York, USA",1500-3000 USD,Snowy,January,13149.75,Female,Airbnb,"['English', 'Spanish']",Family
"Istanbul, Turkey","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,10277.43,Male,GuestHouse,['Portuguese'],Friends
"Kuala Lumpur, Malaysia","Lisbon, Portugal",800-1500 USD,Cloudy,January,11569.47,Male,Hotel,['Portuguese'],Friends
"Santiago, Chile","London, UK",1500-3000 USD,Cloudy,November,11672.78,Female,Airbnb,['English'],Family
"Berlin, Germany","Kuala Lumpur, Malaysia",800-1500 USD,Humid,July,9614.39,Female,Airbnb,"['Malay', 'English']",Solo
"Buenos Aires, Argentina","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,1967.77,Female,GuestHouse,['Portuguese'],Couple
"Amsterdam, Netherlands","Toronto, Canada",1500-3000 USD,Snowy,February,5979.92,Male,Airbnb,"['English', 'French']",Family
"Sydney, Australia","London, UK",1500-3000 USD,Rainy,April,16993.93,Male,Hotel,['English'],Colleagues
"Mexico City, Mexico","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,16627.22,Female,Airbnb,"['Malay', 'English']",Solo
"Tokyo, Japan","Cape Town, South Africa",800-1500 USD,Windy,October,14727.59,Male,GuestHouse,"['English', 'Afrikaans', 'Xhosa']",Couple
"New York, USA","Moscow, Russia",800-1500 USD,Sunny,July,7510.26,Female,Airbnb,['Russian'],Couple
"Amsterdam, Netherlands","Cairo, Egypt",500-800 USD,Sunny,November,3282.08,Female,Hotel,"['Arabic', 'English']",Family
"Mexico City, Mexico","Moscow, Russia",800-1500 USD,Cold,February,10719.39,Female,Airbnb,['Russian'],Family
"Nairobi, Kenya","Mexico City, Mexico",800-1500 USD,Cold,January,14815.93,Female,Hotel,['Spanish'],Couple
"New York, USA",Singapore,1500-3000 USD,Humid,April,15332.5,Female,Airbnb,"['English', 'Mandarin']",Friends
"Buenos Aires, Argentina","Sydney, Australia",1500-3000 USD,Rainy,March,11801.07,Female,Airbnb,['English'],Friends
"Lisbon, Portugal","Berlin, Germany",1500-3000 USD,Snowy,December,2312.12,Female,Hotel,"['German', 'English']",Solo
"Rio de Janeiro, Brazil","Budapest, Hungary",800-1500 USD,Rainy,May,9987.41,Female,Airbnb,['Hungarian'],Family
"New York, USA","Rome, Italy",1500-3000 USD,Sunny,August,6889.94,Male,Hotel,['Italian'],Family
"Cairo, Egypt","Rome, Italy",1500-3000 USD,Sunny,June,2132.44,Male,Airbnb,['Italian'],Couple
"Seoul, South Korea","Santiago, Chile",800-1500 USD,Sunny,December,18356.28,Male,Hotel,['Spanish'],Family
"Mumbai, India","Rio de Janeiro, Brazil",500-800 USD,Sunny,December,13413.71,Female,Hotel,['Portuguese'],Couple
"Berlin, Germany","New York, USA",1500-3000 USD,Rainy,May,6385.0,Female,GuestHouse,"['English', 'Spanish']",Colleagues
"Berlin, Germany","Budapest, Hungary",800-1500 USD,Cold,January,688.03,Female,Hotel,['Hungarian'],Friends
"Vienna, Austria","Budapest, Hungary",800-1500 USD,Sunny,June,214.04,Male,Hotel,['Hungarian'],Friends
"Cairo, Egypt","Vienna, Austria",1500-3000 USD,Sunny,June,2382.8,Female,GuestHouse,['German'],Solo
"Hanoi, Vietnam","Istanbul, Turkey",800-1500 USD,Sunny,May,7417.8,Female,GuestHouse,['Turkish'],Friends
Singapore,"Cape Town, South Africa",800-1500 USD,Rainy,June,9667.04,Male,Airbnb,"['English', 'Afrikaans', 'Xhosa']",Couple
"Budapest, Hungary","Vienna, Austria",1500-3000 USD,Cold,January,214.04,Female,Hotel,['German'],Friends
"Mumbai, India","Sydney, Australia",1500-3000 USD,Cloudy,July,10156.82,Female,Hotel,['English'],Friends
"Budapest, Hungary","Bangkok, Thailand",500-800 USD,Humid,June,8247.58,Male,Hotel,"['Thai', 'English']",Family
"Hanoi, Vietnam","Budapest, Hungary",800-1500 USD,Rainy,April,8069.03,Female,Hotel,['Hungarian'],Friends
"Paris, France","New York, USA",1500-3000 USD,Sunny,July,5837.24,Female,Airbnb,"['English', 'Spanish']",Colleagues
"Santiago, Chile","Paris, France",1500-3000 USD,Sunny,June,11648.82,Male,Hotel,['French'],Couple
Singapore,"Bangkok, Thailand",500-800 USD,Humid,July,1426.76,Female,Hotel,"['Thai', 'English']",Family
"Mumbai, India","Toronto, Canada",1500-3000 USD,Sunny,July,12487.09,Female,Hotel,"['English', 'French']",Friends
"Moscow, Russia","Toronto, Canada",1500-3000 USD,Snowy,January,7482.89,Male,Airbnb,"['English', 'French']",Couple
"Paris, France","Cairo, Egypt",500-800 USD,Windy,April,3210.01,Male,GuestHouse,"['Arabic', 'English']",Friends
"Los Angeles, USA","Budapest, Hungary",800-1500 USD,Cold,January,9997.68,Male,GuestHouse,['Hungarian'],Couple
"Hanoi, Vietnam","Amsterdam, Netherlands",1500-3000 USD,Rainy,November,8880.93,Male,GuestHouse,"['Dutch', 'English']",Couple
"London, UK","Cape Town, South Africa",800-1500 USD,Rainy,July,9671.0,Male,GuestHouse,"['English', 'Afrikaans', 'Xhosa']",Solo
Singapore,"Toronto, Canada",1500-3000 USD,Sunny,July,15001.03,Male,Airbnb,"['English', 'French']",Couple
"Kuala Lumpur, Malaysia","Mumbai, India",800-1500 USD,Dry,November,3597.51,Female,GuestHouse,"['Hindi', 'English']",Couple
"Cape Town, South Africa","Lisbon, Portugal",800-1500 USD,Cloudy,February,8563.15,Male,Hotel,['Portuguese'],Friends
"Cape Town, South Africa","Rio de Janeiro, Brazil",500-800 USD,Sunny,December,6059.33,Female,GuestHouse,['Portuguese'],Solo
"Nairobi, Kenya","New York, USA",1500-3000 USD,Snowy,January,11842.35,Female,GuestHouse,"['English', 'Spanish']",Friends
"Mexico City, Mexico","Cairo, Egypt",500-800 USD,Sunny,October,12368.58,Male,Airbnb,"['Arabic', 'English']",Friends
"Dubai, UAE","Barcelona, Spain",1500-3000 USD,Rainy,December,5161.11,Female,Hotel,"['Spanish', 'Catalan']",Couple
"Bangkok, Thailand","Santiago, Chile",800-1500 USD,Rainy,April,17650.5,Male,GuestHouse,['Spanish'],Friends
"Sydney, Australia","Cairo, Egypt",500-800 USD,Hot,July,14416.54,Female,Airbnb,"['Arabic', 'English']",Friends
"Bangkok, Thailand","Budapest, Hungary",800-1500 USD,Sunny,June,8247.58,Male,Hotel,['Hungarian'],Friends
"Hanoi, Vietnam","Buenos Aires, Argentina",800-1500 USD,Rainy,February,17856.82,Female,GuestHouse,['Spanish'],Family
"Dubai, UAE","Kuala Lumpur, Malaysia",800-1500 USD,Humid,June,5531.78,Female,GuestHouse,"['Malay', 'English']",Couple
"Seoul, South Korea","Budapest, Hungary",800-1500 USD,Cold,February,8169.23,Female,Airbnb,['Hungarian'],Family
"Berlin, Germany","Budapest, Hungary",800-1500 USD,Rainy,April,688.03,Female,Hotel,['Hungarian'],Family
"Budapest, Hungary","Barcelona, Spain",1500-3000 USD,Rainy,December,1497.36,Female,Hotel,"['Spanish', 'Catalan']",Family
"Rio de Janeiro, Brazil","Vienna, Austria",1500-3000 USD,Rainy,April,9874.18,Female,Airbnb,['German'],Couple
"Berlin, Germany","Moscow, Russia",800-1500 USD,Cold,February,1608.83,Male,Hotel,['Russian'],Couple
"Dubai, UAE","Bangkok, Thailand",500-800 USD,Humid,June,4883.14,Female,GuestHouse,"['Thai', 'English']",Solo
"London, UK","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,10545.82,Male,Airbnb,"['Malay', 'English']",Couple
"Lisbon, Portugal","Toronto, Canada",1500-3000 USD,Sunny,July,5723.06,Female,Airbnb,"['English', 'French']",Family
"Istanbul, Turkey","Tokyo, Japan",1500-3000 USD,Humid,August,8943.21,Female,GuestHouse,['Japanese'],Friends
"Cape Town, South Africa","Bangkok, Thailand",500-800 USD,Sunny,November,10145.34,Male,GuestHouse,"['Thai', 'English']",Couple
"Vienna, Austria","London, UK",1500-3000 USD,Rainy,April,1235.41,Female,GuestHouse,['English'],Couple
"Vienna, Austria","Cairo, Egypt",500-800 USD,Hot,August,2382.8,Male,GuestHouse,"['Arabic', 'English']",Family
"Los Angeles, USA","Tokyo, Japan",1500-3000 USD,Cloudy,November,8819.39,Female,Airbnb,['Japanese'],Couple
"Lisbon, Portugal","Paris, France",1500-3000 USD,Rainy,April,1452.93,Male,Hotel,['French'],Couple
"Nairobi, Kenya","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,March,7227.06,Female,Airbnb,"['Malay', 'English']",Friends
"Budapest, Hungary","Seoul, South Korea",1500-3000 USD,Cold,January,8169.23,Male,Airbnb,['Korean'],Family
"Cairo, Egypt","Mumbai, India",800-1500 USD,Humid,June,4358.21,Female,Airbnb,"['Hindi', 'English']",Friends
"Cairo, Egypt","Paris, France",1500-3000 USD,Sunny,August,3210.01,Male,Airbnb,['French'],Solo
"Amsterdam, Netherlands","Istanbul, Turkey",800-1500 USD,Rainy,December,2211.95,Male,Hotel,['Turkish'],Friends
"London, UK","Mumbai, India",800-1500 USD,Dry,October,7191.7,Male,Airbnb,"['Hindi', 'English']",Couple
"London, UK","Mexico City, Mexico",800-1500 USD,Rainy,July,8928.73,Female,GuestHouse,['Spanish'],Friends
"Cairo, Egypt","Budapest, Hungary",800-1500 USD,Cold,February,2203.89,Male,Airbnb,['Hungarian'],Couple
"Bangkok, Thailand","Nairobi, Kenya",800-1500 USD,Humid,March,7209.87,Male,GuestHouse,"['Swahili', 'English']",Friends
"Mumbai, India","Bangkok, Thailand",500-800 USD,Sunny,November,3001.63,Female,Airbnb,"['Thai', 'English']",Couple
"Nairobi, Kenya","Hanoi, Vietnam",500-800 USD,Rainy,June,7893.29,Male,Hotel,['Vietnamese'],Couple
"Kuala Lumpur, Malaysia",Singapore,1500-3000 USD,Rainy,November,309.25,Male,Hotel,"['English', 'Mandarin']",Colleagues
"Istanbul, Turkey","Hanoi, Vietnam",500-800 USD,Rainy,May,7417.8,Female,GuestHouse,['Vietnamese'],Family
"Santiago, Chile","New York, USA",1500-3000 USD,Rainy,May,8253.5,Female,Hotel,"['English', 'Spanish']",Family
Singapore,"Barcelona, Spain",1500-3000 USD,Sunny,June,10875.52,Male,Hotel,"['Spanish', 'Catalan']",Solo
"Hanoi, Vietnam","Moscow, Russia",800-1500 USD,Sunny,July,6734.98,Male,Airbnb,['Russian'],Couple
"Bangkok, Thailand","Rome, Italy",1500-3000 USD,Sunny,June,8828.72,Female,Hotel,['Italian'],Friends
"London, UK","Tokyo, Japan",1500-3000 USD,Humid,August,9558.56,Male,Airbnb,['Japanese'],Friends
"Cape Town, South Africa","Nairobi, Kenya",800-1500 USD,Sunny,January,4102.81,Female,GuestHouse,"['Swahili', 'English']",Couple
"Hanoi, Vietnam","Rio de Janeiro, Brazil",500-800 USD,Sunny,December,16820.07,Male,Airbnb,['Portuguese'],Solo
"Mumbai, India","Cape Town, South Africa",800-1500 USD,Windy,October,8242.55,Female,GuestHouse,"['English', 'Afrikaans', 'Xhosa']",Couple
